ISO2_code,Year,Population
AD,1976,-0.7435510132933885
GW,1976,-0.8733757239144833
LS,1976,-0.6389925227709566
TW,1976,-0.4293032267436359
MQ,1976,-0.47248991098721566
LR,1976,-0.7534361189336948
AR,1976,-0.7324440358779485
JP,1976,-0.08218264078212419
KR,1976,-0.28020337963465847
CN,1976,-0.3914344338234732
ER,1976,-0.7753882642920162
US,1976,-0.7204599438038976
AD,1977,-0.6835748599342881
ZM,1977,-0.7706142781415456
MQ,1977,-0.4439221912137783
LR,1977,-0.7218666706551196
TW,1977,-0.3684848681601767
JP,1977,-0.0011335047055209472
ER,1977,-0.735734687632137
AR,1977,-0.6884229879115511
KR,1977,-0.23437481858862913
US,1977,-0.6859700710151636
GW,1977,-0.7947834616204048
ES,1977,-0.4900732969119896
CN,1977,-0.34507649421416486
AF,1977,-0.6488866956570826
LS,1977,-0.5746410782324173
MQ,1978,-0.4242622343924401
LR,1978,-0.6882869847810593
GW,1978,-0.7124523240376938
AD,1978,-0.6246858876028454
KR,1978,-0.1922018411916617
AF,1978,-0.6288929091853911
AR,1978,-0.6434853956229615
US,1978,-0.6470778434893432
ZM,1978,-0.7454718657643358
TW,1978,-0.3075214433994045
LS,1978,-0.5122884837903272
ES,1978,-0.43589234067313637
CN,1978,-0.3009926702283082
JP,1978,0.073594995115888
ER,1978,-0.6948513819097969
AF,1979,-0.6251171060445597
ES,1979,-0.3861458269434493
CN,1979,-0.25479404884786244
ER,1979,-0.6527383471249961
MQ,1979,-0.4102613269759644
TW,1979,-0.24671874648151185
LR,1979,-0.6534753204375914
JP,1979,0.14176163316314835
ZM,1979,-0.7196861914241525
GW,1979,-0.6654232054394422
US,1979,-0.6059952356616207
LS,1979,-0.448365969764427
AD,1979,-0.5678625592239513
AR,1979,-0.5979582547524404
KR,1979,-0.15111188031058423
JP,1980,0.20299048837922576
KR,1980,-0.10753910003774833
US,1980,-0.563397298915886
TW,1980,-0.1866531266993617
MQ,1980,-0.39913186314640065
AR,1980,-0.5521550488195759
CN,1980,-0.20538866322006535
ER,1980,-0.609126919578948
ZM,1980,-0.6931260258629711
GW,1980,-0.6484120127055532
AF,1980,-0.6648357224588298
LS,1980,-0.382661613964677
AD,1980,-0.5146269282363272
LR,1980,-0.6174558590202927
ES,1980,-0.3396008641511502
MQ,1981,-0.37978629795866564
ZM,1981,-0.6649645452223508
CN,1981,-0.15312732728949338
AR,1981,-0.505747638742359
GW,1981,-0.6251388936925936
AD,1981,-0.4647615584344406
AF,1981,-0.7706567642130092
ES,1981,-0.2985480965647321
LS,1981,-0.3151364227081106
LR,1981,-0.5808522259940496
ER,1981,-0.5638817796880725
KR,1981,-0.050990569151672535
JP,1981,0.2572913295776303
US,1981,-0.5233918198232895
TW,1981,-0.1278680438481242
TW,1982,-0.07064070940833428
JP,1982,0.30809051461732884
AD,1982,-0.40637993724923793
GW,1982,-0.6015588006015083
LS,1982,-0.24579887288232916
AF,1982,-0.8554532579038697
AR,1982,-0.45882104757086356
CN,1982,-0.09617372320546157
MQ,1982,-0.33493309156456763
ZM,1982,-0.6342112469692957
ER,1982,-0.5172054129606461
ES,1982,-0.2641815130910111
KR,1982,0.01664931195894442
US,1982,-0.4860371518744304
LR,1982,-0.5439997791343673
KR,1983,0.08215468758330413
ES,1983,-0.2353334187192509
US,1983,-0.4480278809287603
AR,1983,-0.4115932378185433
TW,1983,-0.015192540176943405
LR,1983,-0.5048329181769391
ER,1983,-0.4690346044087194
ZM,1983,-0.6023580089353406
CN,1983,-0.040904901580732296
JP,1983,0.3576911304143017
GW,1983,-0.577821771324415
MQ,1983,-0.26337755575641286
AF,1983,-0.8663291478104382
LS,1983,-0.17470830270054333
AD,1983,-0.33991693709178167
AF,1984,-0.8431024784255665
JP,1984,0.405962973658586
TW,1984,0.03828147610974074
LS,1984,-0.10191557348836253
ER,1984,-0.4198651965940233
ZM,1984,-0.5710217346451201
LR,1984,-0.46344264153143694
US,1984,-0.4102132277060337
AR,1984,-0.36429422905729786
CN,1984,0.011560936566621003
AD,1984,-0.27653428317935497
ES,1984,-0.21070557155115896
KR,1984,0.14365989255145384
GW,1984,-0.5539950642267456
MQ,1984,-0.1778420719740222
LS,1985,-0.028285327781147396
LR,1985,-0.42174246121103715
ZM,1985,-0.5394667449248581
GW,1985,-0.5300614335737741
US,1985,-0.37234150995718474
ER,1985,-0.3708251819577871
JP,1985,0.45219042528182535
AF,1985,-0.8217596174488027
ES,1985,-0.1888716430484706
MQ,1985,-0.085955877192841
CN,1985,0.06796731274259049
AD,1985,-0.21753659274514633
AR,1985,-0.31701029161910954
TW,1985,0.08969598337437829
KR,1985,0.2009078716040427
JP,1986,0.49435134088789684
AF,1986,-0.8268287009211136
KR,1986,0.25892651279977413
ZM,1986,-0.5069349323275886
US,1986,-0.3346814529060358
GW,1986,-0.5058587694590744
AR,1986,-0.26907163511928756
ER,1986,-0.3210749864413021
LS,1986,0.04477866183428331
TW,1986,0.13862185198043653
AD,1986,-0.15245068855605626
MQ,1986,0.010625232650152137
LR,1986,-0.37965665126643244
ES,1986,-0.17059077335708936
CN,1986,0.12950875383467053
AF,1987,-0.8368179244450623
CN,1987,0.19649423533137328
GW,1987,-0.48122151282927517
TW,1987,0.1844598274491619
AR,1987,-0.2204144403001966
JP,1987,0.5341810040207927
US,1987,-0.2974385747775917
LS,1987,0.111145910244476
ZM,1987,-0.4744508394605097
MQ,1987,0.11135631205671094
KR,1987,0.31901469057804765
AD,1987,-0.07888477235123832
ES,1987,-0.1546414495503247
LR,1987,-0.3372825736324466
ER,1987,-0.2709534028706124
CN,1988,0.26332749688400525
MQ,1988,0.21552473999066885
ER,1988,-0.220390302118461
US,1988,-0.25869570799973096
LS,1988,0.1701348756862638
ZM,1988,-0.44277448255979557
AR,1988,-0.1711115692133062
GW,1988,-0.4559185708390461
AD,1988,-0.0057174891898946235
KR,1988,0.3777588682287614
LR,1988,-0.2945260481368316
ES,1988,-0.141234791624194
TW,1988,0.2266347351126106
JP,1988,0.5719311933702652
AF,1988,-0.8319933974857777
AF,1989,-0.8089677301878229
TW,1989,0.26442339756323063
MQ,1989,0.32652594609494195
ER,1989,-0.1704257682834589
ZM,1989,-0.4114464796894749
US,1989,-0.21626681655823424
